T,RollA,PithA,RollG,PithG,RollFC,PitchFC
0,-0.16,0.07,0.00,-0.02,-0.00,-0.02
54,0.12,0.21,0.00,-0.04,0.00,-0.04
108,0.34,0.21,0.01,0.04,0.01,0.04
163,-0.08,0.03,0.02,0.08,0.02,0.08
217,0.51,0.11,0.04,0.18,0.05,0.18
271,-0.11,0.31,0.28,0.11,0.27,0.11
325,0.56,-0.45,0.97,0.46,0.96,0.44
379,1.45,0.41,3.02,-0.00,2.99,0.01
433,3.60,-0.01,5.69,-0.13,5.65,-0.12
487,6.97,0.27,8.64,-0.29,8.61,-0.27
541,9.99,0.77,11.71,-0.26,11.68,-0.24
596,13.09,-0.91,15.22,-0.27,15.18,-0.29
651,17.53,-0.29,18.96,-0.30,18.93,-0.30
706,21.25,-0.62,22.60,-0.54,22.58,-0.54
762,24.52,0.04,25.72,-0.88,25.69,-0.86
817,27.46,-0.32,28.46,-1.10,28.44,-1.09
872,30.55,0.70,31.10,-1.21,31.08,-1.17
928,32.88,-0.06,33.28,-1.15,33.27,-1.13
983,34.90,0.27,34.93,-1.33,34.92,-1.29
1038,35.78,0.21,36.53,-1.57,36.52,-1.53
1093,38.72,0.39,37.97,-1.83,37.99,-1.78
1148,38.85,0.67,39.05,-1.99,39.04,-1.94
1203,40.81,-0.48,40.05,-2.06,40.06,-2.03
1258,41.85,0.03,40.41,-2.02,40.44,-1.98
1314,41.44,-0.17,40.23,-1.90,40.25,-1.86
1369,40.76,0.54,40.03,-2.05,40.04,-2.00
1424,40.31,-0.26,39.91,-2.11,39.92,-2.07
1479,39.86,-0.57,40.12,-2.02,40.11,-1.99
1534,40.82,0.10,40.40,-1.99,40.41,-1.95
1589,40.70,-1.04,40.75,-1.94,40.75,-1.92
1644,42.07,0.01,40.75,-2.07,40.77,-2.02
1700,42.63,-1.17,40.52,-2.20,40.56,-2.18
1755,38.36,-0.04,39.09,-2.20,39.08,-2.16
1810,37.77,-1.22,36.65,-1.73,36.67,-1.72
1865,34.98,-1.57,34.10,-1.49,34.12,-1.49
1920,31.36,-0.56,31.50,-1.91,31.50,-1.89
1975,28.99,-3.40,28.79,-1.95,28.79,-1.98
2030,29.18,0.64,25.09,-1.91,25.17,-1.86
2085,21.20,-5.52,20.98,-2.10,20.99,-2.17
2140,22.59,1.90,16.70,-0.65,16.82,-0.60
2195,17.59,0.33,12.84,-0.25,12.94,-0.24
2251,11.77,-0.79,9.99,0.08,10.03,0.07
2306,8.48,-0.08,7.51,-0.41,7.53,-0.41
2361,6.74,-2.04,5.31,-0.50,5.34,-0.53
2416,3.68,2.58,3.02,-0.30,3.04,-0.25
2470,0.54,2.09,0.43,-0.49,0.43,-0.44
2524,-0.29,0.65,-2.08,0.18,-2.05,0.19
2578,-1.08,2.63,-3.21,0.50,-3.17,0.54
2633,-5.54,-1.18,-3.56,1.66,-3.60,1.60
2688,-5.55,5.20,-3.26,1.98,-3.31,2.05
2743,-3.30,0.36,-2.53,1.65,-2.54,1.62
2798,-3.13,1.65,-2.34,1.58,-2.35,1.58
2853,-3.00,-0.18,-2.13,1.73,-2.15,1.69
2908,-2.71,1.87,-2.37,3.03,-2.38,3.01
2963,-2.26,5.69,-1.85,4.69,-1.86,4.71
3019,-0.85,8.19,-1.56,8.40,-1.54,8.39
3074,0.33,11.18,-1.82,13.26,-1.78,13.22
3129,-0.90,14.75,-1.86,18.96,-1.84,18.88
3184,-4.00,25.77,-2.87,24.92,-2.89,24.94
3239,-5.62,29.12,-3.73,31.23,-3.76,31.19
3294,-3.53,30.98,-4.30,35.63,-4.28,35.53
3349,-6.39,43.36,-5.25,42.63,-5.28,42.64
3405,-6.63,41.88,-6.05,48.45,-6.06,48.32
3460,-2.79,56.52,-5.84,56.31,-5.78,56.31
3515,-0.03,63.43,-5.98,62.50,-5.86,62.52
3570,1.44,70.96,-4.75,68.17,-4.63,68.22
3625,-2.04,75.70,-3.77,74.69,-3.73,74.71
3680,1.14,78.45,-3.01,77.95,-2.93,77.96
3735,-0.55,77.94,-2.88,82.72,-2.83,82.63
3791,0.59,88.85,-2.45,86.14,-2.39,86.19
3846,3.42,86.32,-1.78,89.66,-1.68,89.59
3901,1.50,87.67,-1.24,92.45,-1.18,92.35
3956,0.58,87.56,-0.71,95.03,-0.68,94.88
4011,0.63,83.33,-0.93,97.00,-0.89,96.73
4066,1.10,82.80,-1.10,96.47,-1.06,96.20
4121,-0.69,85.31,-1.14,95.83,-1.13,95.62
4176,0.53,83.85,-1.25,94.39,-1.21,94.18
4231,0.39,83.87,-1.44,94.28,-1.41,94.07
4286,0.77,83.04,-1.49,93.61,-1.44,93.40
4342,-0.44,85.42,-1.36,92.86,-1.34,92.71
4397,0.44,84.02,-1.46,93.20,-1.42,93.02
4452,-0.64,83.62,-1.54,93.11,-1.52,92.92
4507,-0.21,85.51,-1.73,92.18,-1.70,92.05
4562,-2.55,85.14,-2.62,88.67,-2.62,88.60
4617,-1.36,88.38,-3.04,85.51,-3.01,85.57
4672,-1.84,85.80,-3.14,80.19,-3.11,80.30
4728,-0.69,81.32,-2.38,73.57,-2.35,73.72
4783,2.21,75.27,-2.31,66.59,-2.22,66.76
4838,0.77,65.40,-2.44,60.31,-2.38,60.41
4893,4.84,57.08,-2.25,49.76,-2.10,49.90
4948,-0.96,45.10,-1.79,44.45,-1.77,44.46
5003,4.05,44.45,0.00,31.72,0.08,31.98
5058,5.35,21.43,1.95,27.00,2.02,26.89
5114,4.63,27.20,3.11,19.00,3.14,19.16
5169,9.21,10.32,3.52,13.58,3.64,13.51
5224,7.30,14.29,3.52,9.40,3.60,9.50
5280,6.79,13.24,2.18,8.34,2.27,8.43
5335,3.99,10.06,1.35,7.98,1.41,8.03
5390,2.79,8.68,0.96,8.58,0.99,8.58
5444,4.32,9.01,0.96,8.60,1.03,8.61
5498,4.54,8.85,1.48,8.11,1.54,8.13
5553,4.89,9.18,1.53,8.39,1.59,8.40
5607,4.82,9.28,1.59,8.16,1.65,8.18
5662,4.52,9.31,1.08,8.30,1.14,8.32
5716,3.47,9.10,0.49,8.30,0.55,8.32
5770,2.69,9.95,-0.40,7.93,-0.34,7.97
5824,2.25,8.22,-2.52,7.05,-2.43,7.07
5880,-2.25,5.54,-6.14,6.07,-6.06,6.06
5935,-3.24,9.25,-10.74,5.58,-10.59,5.65
5990,-8.95,4.39,-14.51,4.21,-14.40,4.21
6045,-17.19,3.93,-19.11,3.56,-19.07,3.56
6100,-18.29,6.56,-23.13,2.93,-23.03,3.00
6155,-23.29,0.99,-25.17,3.23,-25.13,3.18
6210,-24.71,3.74,-27.82,2.64,-27.76,2.66
6266,-26.33,3.15,-30.73,1.96,-30.64,1.98
6321,-29.99,1.73,-32.93,0.57,-32.87,0.60
6376,-30.85,1.85,-35.65,0.57,-35.55,0.60
6432,-35.36,4.20,-38.67,0.27,-38.61,0.35
6487,-38.28,1.25,-41.56,-0.28,-41.49,-0.25
6542,-42.69,2.63,-43.27,-0.54,-43.25,-0.48
6597,-43.87,0.30,-43.43,-0.93,-43.43,-0.90
6652,-41.77,0.04,-43.37,-1.46,-43.34,-1.43
6707,-42.02,0.94,-43.46,-1.49,-43.43,-1.45
6762,-42.13,-0.84,-43.86,-2.01,-43.82,-1.99
6818,-43.15,3.31,-44.36,-1.79,-44.33,-1.69
6873,-51.43,-7.44,-43.80,-1.78,-43.96,-1.90
6928,-46.56,1.83,-43.19,-1.89,-43.26,-1.81
6983,-44.66,-1.63,-40.80,-2.18,-40.88,-2.17
7038,-37.64,0.11,-38.01,-2.15,-38.00,-2.11
7093,-35.88,1.05,-34.49,-2.28,-34.52,-2.22
7148,-31.51,-0.75,-30.50,-2.09,-30.52,-2.07
7204,-26.46,-2.00,-26.94,-0.85,-26.93,-0.87
7259,-23.22,-2.26,-22.69,-0.68,-22.70,-0.71
7314,-18.10,-4.29,-18.58,0.33,-18.57,0.24
7369,-15.73,0.72,-13.87,-1.50,-13.91,-1.46
7424,-9.13,-6.54,-10.51,-0.06,-10.48,-0.19
7479,-6.89,0.18,-7.12,-0.46,-7.12,-0.45
7534,-1.41,-1.36,-3.33,-0.97,-3.29,-0.98
7589,-1.31,-1.72,-3.02,-1.09,-2.99,-1.11
7644,35.48,-5.91,1.66,2.54,2.34,2.37
7699,-0.55,-1.60,2.31,2.64,2.26,2.56
7755,-1.27,2.64,2.21,2.79,2.14,2.79
7810,-2.27,-8.55,2.15,2.76,2.06,2.53
7865,0.75,-1.31,2.09,2.30,2.06,2.23
7920,0.30,2.85,2.03,0.05,2.00,0.11
7974,-0.29,-1.87,2.01,-1.93,1.97,-1.93
8029,1.22,-6.30,1.76,-8.70,1.75,-8.65
8084,-0.24,-12.72,1.65,-15.11,1.61,-15.06
8140,0.26,-22.16,1.60,-22.89,1.57,-22.87
8195,0.23,-31.67,1.65,-31.24,1.62,-31.25
8250,-0.28,-39.37,1.80,-40.16,1.76,-40.15
8305,-1.28,-47.53,1.75,-44.80,1.69,-44.85
8360,1.63,-48.10,1.66,-50.84,1.66,-50.79
8415,-0.19,-51.03,1.64,-57.61,1.61,-57.48
8470,0.35,-58.21,1.56,-63.22,1.54,-63.12
8526,-1.55,-73.07,1.51,-69.05,1.45,-69.13
8581,-0.47,-76.84,1.61,-74.03,1.56,-74.08
8636,-0.67,-78.12,1.53,-78.02,1.49,-78.02
8691,-0.01,-84.89,1.46,-81.64,1.43,-81.71
8746,-0.34,-87.68,1.42,-83.55,1.38,-83.63
8801,-0.29,-86.97,1.37,-84.85,1.34,-84.89
8856,-0.79,-89.16,1.02,-85.82,0.98,-85.89
